STAR_ID_g,RA_g,DEC_g,MEDIAN_g,MEAN_g,CLIPPED_MEAN_g,CLIPPED_SIGMA_g,N_NOTCLIPPED_g,RESIDUALS_g,CLIPPED_MEAN_ERROR_g,STAR_ID_r,RA_r,DEC_r,MEDIAN_r,MEAN_r,CLIPPED_MEAN_r,CLIPPED_SIGMA_r,N_NOTCLIPPED_r,RESIDUALS_r,CLIPPED_MEAN_ERROR_r,STAR_ID_i,RA_i,DEC_i,MEDIAN_i,MEAN_i,CLIPPED_MEAN_i,CLIPPED_SIGMA_i,N_NOTCLIPPED_i,RESIDUALS_i,CLIPPED_MEAN_ERROR_i,STAR_ID_z,RA_z,DEC_z,MEDIAN_z,MEAN_z,CLIPPED_MEAN_z,CLIPPED_SIGMA_z,N_NOTCLIPPED_z,RESIDUALS_z,CLIPPED_MEAN_ERROR_z,STAR_ID_Y,RA_Y,DEC_Y,MEDIAN_Y,MEAN_Y,CLIPPED_MEAN_Y,CLIPPED_SIGMA_Y,N_NOTCLIPPED_Y,RESIDUALS_Y,CLIPPED_MEAN_ERROR_Y
1,29.9007982857,0.733938285714,17.8423,17.8463,17.8463,0.00747051346485,7,0.00688571428571,0.00282358868485,719,29.9008175714,0.733916857143,16.3183,16.3123,16.3123,0.0164264594916,7,0.0133428571429,0.00620861810514,2076,29.9008214286,0.73392,15.2445,15.2475142857,15.2475142857,0.013661565333,7,0.0103020408163,0.00516358634156,162,29.900822,0.733907,14.698,14.6999285714,14.6999285714,0.0149902553381,7,0.0123183673469,0.00566578395915,346,29.9008186667,0.733906777778,14.4669,14.4642333333,14.4642333333,0.00797175569676,9,0.00684444444444,0.00265725189892
2,29.899589,0.731775857143,17.5623,17.5633142857,17.5633142857,0.0120600199682,7,0.0109020408163,0.00455825909175,720,29.8996037143,0.731773142857,17.1801,17.1784571429,17.1784571429,0.0142813421881,7,0.0118775510204,0.00539783997399,2077,29.8996022857,0.731769714286,17.0154,17.0158857143,17.0158857143,0.0149612288047,7,0.0114408163265,0.00565481296074,163,29.899607,0.731765285714,17.0003,16.9966571429,16.9966571429,0.0158349394101,7,0.0140775510204,0.00598504452928,347,29.8996053333,0.731761444444,17.0262,17.0257666667,17.0257666667,0.0176044817526,9,0.0121481481481,0.0058681605842
3,29.8995415,0.7814705,19.23155,19.2261833333,19.2261833333,0.0559201638251,6,0.0522833333333,0.022829311284,721,29.899553,0.781455285714,17.7477,17.7524857143,17.7524857143,0.0248503767474,7,0.0214408163265,0.00939255955143,2078,29.8995574286,0.781455714286,16.5781,16.5861142857,16.5861142857,0.0251065972304,7,0.0228163265306,0.00948940179125,164,29.8995607143,0.781448,15.9299,15.9361142857,15.9361142857,0.016052007313,7,0.0150448979592,0.00606708848479,348,29.8995588889,0.781442666667,15.6266,15.6286666667,15.6286666667,0.00981597337676,9,0.00854074074074,0.00327199112559
4,29.8976592857,0.711806857143,17.296,17.2952571429,17.2952571429,0.010999851576,7,0.00870612244898,0.0041575531041,722,29.8976715714,0.711799142857,16.9056,16.9063428571,16.9063428571,0.016617018569,7,0.0127632653061,0.00628064266642,2079,29.8976755714,0.711793857143,16.7331,16.7314285714,16.7314285714,0.0155261727678,7,0.0135673469388,0.00586834170804,165,29.8976781429,0.711787,16.7331,16.7322285714,16.7322285714,0.0111361335026,7,0.00845306122449,0.00420906283067,349,29.8976744444,0.711790777778,16.7661,16.7644888889,16.7644888889,0.0132428130986,9,0.00983456790123,0.00441427103288
5,29.889046,0.741528,20.14745,20.14745,20.14745,0.00185,2,0.00185,0.00130814754519,1700,29.8891046667,0.741530666667,19.5368,19.5377666667,19.5377666667,0.017608773066,3,0.0146888888889,0.0101664298697,2603,29.8890995,0.741522,19.2549,19.220625,19.220625,0.0751112633032,4,0.0639125,0.0375556316516,2308,29.8890996,0.7415162,19.1692,19.17546,19.17546,0.0399599099098,5,0.036152,0.0178706149866,2079,29.88910475,0.741506,19.1779,19.1792,19.1792,0.0120911124385,4,0.00915,0.00604555621924
6,29.8825785,0.7644315,19.58275,19.58275,19.58275,0.04415,2,0.04415,0.0312187643894,983,29.882569,0.7644246,19.0741,19.07728,19.07728,0.029394176294,5,0.022416,0.0131454752672,2277,29.8825676667,0.764414333333,18.85385,18.86565,18.86565,0.0462268230216,6,0.0365,0.0188720214721,2309,29.88258325,0.76440625,18.7834,18.774925,18.774925,0.0161505998341,4,0.0139125,0.00807529991703,2080,29.8825727143,0.764413428571,18.8396,18.8419714286,18.8419714286,0.0426649978415,7,0.0313387755102,0.0161258534251
7,29.875278,0.73988175,19.208,19.20795,19.20795,0.0367769968866,4,0.03415,0.0183884984433,724,29.8752941667,0.739893333333,18.6463,18.6485833333,18.6485833333,0.0250158227706,6,0.0236166666667,0.0102126668806,2081,29.8752992857,0.739890428571,18.4411,18.4440428571,18.4440428571,0.0574161713692,7,0.049506122449,0.0217012729538,2310,29.8753012,0.7398838,18.3984,18.39022,18.39022,0.0326629698588,5,0.029896,0.0146073241903,2405,29.8752965,0.739889833333,18.38515,18.39515,18.39515,0.0375126089913,6,0.03125,0.0153144584915
8,29.8710238,0.665344,18.2358,18.22526,18.22526,0.0309515492342,5,0.028328,0.0138419536193,725,29.8710388571,0.665312571429,17.1229,17.1240285714,17.1240285714,0.0138239661753,7,0.0109183673469,0.00522496809035,2082,29.871044,0.665306333333,16.68705,16.6826666667,16.6826666667,0.0191205532231,6,0.0166111111111,0.00780593316603,167,29.8710491429,0.665302857143,16.4631,16.4760142857,16.4760142857,0.0251596859265,7,0.0225346938776,0.00950946743227,351,29.8710453333,0.665305,16.3544,16.3556222222,16.3556222222,0.0103315888611,9,0.00902469135802,0.0034438629537
9,29.8693874286,0.744424571429,17.4843,17.4833142857,17.4833142857,0.0155022973939,7,0.0117551020408,0.00585931766493,726,29.8693985714,0.744415857143,16.7772,16.7713714286,16.7713714286,0.0132916423027,7,0.0112693877551,0.00502376857835,2083,29.8694045714,0.744416714286,16.4933,16.4921285714,16.4921285714,0.0164682130426,7,0.0125020408163,0.00622439946405,168,29.8694011429,0.744406285714,16.3341,16.3312857143,16.3312857143,0.0163414834588,7,0.0147020408163,0.00617650018368,352,29.8694006667,0.744404777778,16.2997,16.2946333333,16.2946333333,0.0127854083496,9,0.010762962963,0.00426180278321
10,29.8502277143,0.775561,16.3528,16.3542714286,16.3542714286,0.00461107805359,7,0.00411020408163,0.00174282368653,727,29.8502362857,0.775557571429,15.4595,15.4523857143,15.4523857143,0.0134918418282,7,0.0116489795918,0.00509943688654,2084,29.8502511429,0.775563142857,15.1503,15.1471,15.1471,0.0165349845566,7,0.0131428571429,0.00624963672414,169,29.8502508571,0.775567857143,15.0252,15.0195857143,15.0195857143,0.0136502672471,7,0.0119591836735,0.0051593160665,353,29.8502436667,0.775561888889,14.9555,14.9534555556,14.9534555556,0.0118812748204,9,0.0102938271605,0.00396042494014
11,29.8350635714,0.784806714286,15.3159,15.3170714286,15.3170714286,0.00893095968059,7,0.00727346938775,0.00337558546914,728,29.8350648571,0.784806857143,14.8964,14.8938857143,14.8938857143,0.0113117421383,7,0.0103591836735,0.00427543665613,2085,29.8350734286,0.784804714286,14.7365,14.7358428571,14.7358428571,0.0117608135218,7,0.00980816326531,0.00444516968492,170,29.8350635714,0.784809,14.7128,14.7066714286,14.7066714286,0.0144225730106,7,0.0122897959184,0.00545122020737,354,29.8350682222,0.784808222222,14.7336,14.7334777778,14.7334777778,0.0087288509843,9,0.00733580246914,0.00290961699477
12,29.8248158571,0.760877571429,16.9305,16.9309428571,16.9309428571,0.0116236037125,7,0.0103346938776,0.00439330925166,729,29.8248217143,0.760877142857,16.2559,16.2527571429,16.2527571429,0.010671839732,7,0.00999183673469,0.00403357628034,2086,29.8248277143,0.760874142857,15.9957,16.0015714286,16.0015714286,0.0174039990713,7,0.0156530612245,0.00657809333723,171,29.8248182857,0.760877857143,15.8806,15.8824714286,15.8824714286,0.0119329931924,7,0.0103959183673,0.0045102474834,355,29.8248244444,0.760876777778,15.8534,15.8493111111,15.8493111111,0.010729548447,9,0.00854320987654,0.003576516149
13,29.8239173333,0.793368333333,17.3618,17.3592,17.3592,0.0108374351209,6,0.00903333333333,0.00442436436113,730,29.8239295,0.7933595,16.2852,16.28225,16.28225,0.0115968027203,6,0.0101666666667,0.00473437488541,2087,29.8239333333,0.793359333333,15.9005,15.9003166667,15.9003166667,0.00888770999127,6,0.00785,0.00362839241007,172,29.8239211667,0.7933735,15.70165,15.7007833333,15.7007833333,0.0129589630072,6,0.00898888888889,0.00529047449388,356,29.823930125,0.793367875,15.6072,15.6119375,15.6119375,0.0154200306015,8,0.012896875,0.0054518041022
14,29.8061305714,0.774389,18.5427,18.5351714286,18.5351714286,0.0132118685048,7,0.0110612244898,0.00499361691688,731,29.8061337143,0.774381142857,17.1117,17.1094285714,17.1094285714,0.0143973920541,7,0.0110448979592,0.00544170270043,2088,29.8061382857,0.774378142857,16.3787,16.3785857143,16.3785857143,0.00919960070118,7,0.00695918367347,0.00347712223092,173,29.806132,0.774382857143,16.0105,16.0086428571,16.0086428571,0.0111041635876,7,0.010093877551,0.00419697933859,357,29.80614,0.774377333333,15.8412,15.8391666667,15.8391666667,0.00861690844277,9,0.00777037037037,0.00287230281426
15,29.7930326667,0.783377166667,19.16005,19.1553,19.1553,0.0169532691046,6,0.0120666666667,0.00692114312973,732,29.7930298571,0.783369571429,18.4976,18.4994857143,18.4994857143,0.0196556374008,7,0.0156408163265,0.00742913263186,2278,29.7930382,0.7833672,18.2755,18.27256,18.27256,0.00659320862706,5,0.006168,0.00294857253599,174,29.7930198,0.783376,18.142,18.13064,18.13064,0.0283144203543,5,0.022176,0.0126625937311,358,29.7930335714,0.783369428571,18.1444,18.1397285714,18.1397285714,0.0312538324181,7,0.0249959183673,0.0118128382994
16,29.7910132,0.778732,19.0199,19.02938,19.02938,0.0330254084002,5,0.028416,0.0147694116335,733,29.7910204286,0.778726142857,17.5236,17.5271857143,17.5271857143,0.0146505415377,7,0.013412244898,0.00553738421158,2089,29.7910281429,0.778723142857,16.541,16.5356285714,16.5356285714,0.0126280542881,7,0.0120244897959,0.00477295588412,175,29.7910152857,0.778725,15.9755,15.9798285714,15.9798285714,0.0139816935706,7,0.0117551020408,0.00528458344219,359,29.7910237778,0.778722333333,15.75,15.7488111111,15.7488111111,0.0108234769978,9,0.00920987654321,0.00360782566592
17,29.7909607143,0.705061285714,15.9637,15.9675714286,15.9675714286,0.0144652997881,7,0.0123387755102,0.00546736941132,734,29.7909638571,0.705041,15.3989,15.3956428571,15.3956428571,0.0141555498599,7,0.00944081632653,0.00535029494296,2090,29.7909767143,0.705038428571,15.1961,15.1917428571,15.1917428571,0.0168755831343,7,0.0140081632653,0.00637837088608,176,29.7909698571,0.705043857143,15.1193,15.1110571429,15.1110571429,0.0183928446602,7,0.0169918367347,0.00695184183913,360,29.7909735556,0.705046333333,15.1026,15.0981111111,15.0981111111,0.0116661375541,9,0.00947407407407,0.00388871251805
18,29.7783803333,0.658202333333,15.5078,15.5070666667,15.5070666667,0.006552522839,3,0.00557777777778,0.00378310082497,989,29.7783805,0.658175,14.7028,14.707475,14.707475,0.0102813848775,4,0.0088125,0.00514069243877,2279,29.7783916667,0.658162666667,14.4317,14.4337666667,14.4337666667,0.00621628685167,3,0.00562222222222,0.00358897488717,2311,29.7783896667,0.658161333333,14.2929,14.2959,14.2959,0.00741350119714,3,0.0068,0.00428018691181,2081,29.7783876667,0.658161,14.2427,14.2391333333,14.2391333333,0.00897564606155,3,0.00822222222222,0.00518209166979
19,29.7750748333,0.698305666667,18.79445,18.7960166667,18.7960166667,0.0190239687996,6,0.0170833333333,0.00776650274028,735,29.7750871429,0.698283142857,17.331,17.3335857143,17.3335857143,0.020122654509,7,0.0175265306122,0.00760564850705,2091,29.7750951429,0.698283428571,16.5502,16.5516285714,16.5516285714,0.00808626954176,7,0.00660408163265,0.00305632260596,177,29.7750861429,0.698286857143,16.1333,16.1373714286,16.1373714286,0.0188952536962,7,0.0153959183673,0.00714173460567,361,29.7750938889,0.698287444444,15.9607,15.9602222222,15.9602222222,0.00891562645369,9,0.00605925925926,0.00297187548456
